SUDT ACCESSPORT LOG FILE - Monitor mode

Монитор: COM4
Задать время: 2017-05-13, 22:35:26
Имя компьютера: NEON
Версия системы:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

113	22:34:36.685	0.00000292	wdtmon3.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
114	22:34:36.685	0.00000365	wdtmon3.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM4	SUCCESS	Mask: RXCHAR	
115	22:34:36.685	0.00023704	wdtmon3.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM4	SUCCESS		
116	22:34:36.685	0.00005871	wdtmon3.exe	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 2, Data: 7E 55 	
117	22:34:36.685	0.00002079	wdtmon3.exe	IRP_MJ_READ                         	COM4	SUCCESS	Length: 3, Data: 7E 41 0A 	
118	22:34:36.685	0.00016301	wdtmon3.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM4	CANCELLED		
119	22:34:36.685	0.00050945	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
120	22:34:36.685	0.00012946	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
121	22:34:36.685	0.00016738	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
122	22:34:36.685	0.00043432	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
126	22:34:36.685	0.00008971	wdtmon3.exe	IRP_MJ_CLOSE                        	COM4	SUCCESS	Port Closed	
127	22:34:39.677	0.00006382	wdtmon3.exe	IRP_MJ_CREATE                       	COM4	SUCCESS	Port Opened	
128	22:34:39.677	0.00044381	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
129	22:34:39.677	0.00000583	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
130	22:34:39.677	0.00018161	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
131	22:34:39.677	0.00027642	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
132	22:34:39.677	0.00000438	wdtmon3.exe	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0xB8, XoffChar: 0xC3	
133	22:34:39.677	0.00000255	wdtmon3.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 4096, XoffLimit: 4096	
134	22:34:39.677	0.00000255	wdtmon3.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
135	22:34:39.677	0.00000328	wdtmon3.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM4	SUCCESS	Mask: RXCHAR	
136	22:34:39.677	0.00021443	wdtmon3.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM4	SUCCESS		
137	22:34:39.677	0.00004522	wdtmon3.exe	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 2, Data: 7E 55 	
138	22:34:39.677	0.00001058	wdtmon3.exe	IRP_MJ_READ                         	COM4	SUCCESS	Length: 3, Data: 7E 41 0A 	
140	22:34:39.677	0.00104114	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
141	22:34:39.692	0.00005579	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
142	22:34:39.692	0.00015353	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
143	22:34:39.692	0.00026803	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
144	22:34:39.692	0.00000401	wdtmon3.exe	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0xB8, XoffChar: 0xC3	
145	22:34:39.692	0.00000583	wdtmon3.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 4096, XoffLimit: 4096	
146	22:34:39.692	0.00000146	wdtmon3.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: -1, ReadTotalTimeoutConstant: 3000, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 3000	
147	22:34:39.692	0.00009700	wdtmon3.exe	IRP_MJ_CLOSE                        	COM4	SUCCESS	Port Closed	
148	22:34:42.679	0.00005835	wdtmon3.exe	IRP_MJ_CREATE                       	COM4	SUCCESS	Port Opened	
149	22:34:42.679	0.00052549	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
150	22:34:42.679	0.00013055	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
151	22:34:42.679	0.00029575	wdtmon3.exe	IOCTL_SERIAL_CLR_DTR                	COM4	SUCCESS		
152	22:34:42.679	0.00030268	wdtmon3.exe	IOCTL_SERIAL_SET_LINE_CONTROL       	COM4	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
153	22:34:42.679	0.00000474	wdtmon3.exe	IOCTL_SERIAL_SET_CHARS              	COM4	SUCCESS	EofChar: 0x0, ErrorChar: 0x0, BreakChar: 0x0, EventChar: 0x0, XonChar: 0xB8, XoffChar: 0xC3	
154	22:34:42.679	0.00000292	wdtmon3.exe	IOCTL_SERIAL_SET_HANDFLOW           	COM4	SUCCESS	ControlHandShake: 0x0, FlowReplace: 0x0, XonLimit: 4096, XoffLimit: 4096	
155	22:34:42.679	0.00000583	wdtmon3.exe	IOCTL_SERIAL_SET_TIMEOUTS           	COM4	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
156	22:34:42.679	0.00000292	wdtmon3.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM4	SUCCESS	Mask: RXCHAR	
157	22:34:42.679	0.00023084	wdtmon3.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM4	SUCCESS		
158	22:34:42.679	0.00005361	wdtmon3.exe	IRP_MJ_WRITE                        	COM4	SUCCESS	Length: 2, Data: 7E 55 	
159	22:34:42.679	0.00008023	wdtmon3.exe	IRP_MJ_READ                         	COM4	SUCCESS	Length: 3, Data: 7E 41 0A 	
160	22:34:42.679	0.00038473	wdtmon3.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM4	CANCELLED		
161	22:34:42.679	0.00031362	wdtmon3.exe	IOCTL_SERIAL_SET_BAUD_RATE          	COM4	SUCCESS	Baud Rate: 9600	
162	22:34:42.679	0.00000583	wdtmon3.exe	IOCTL_SERIAL_CLR_RTS                	COM4	SUCCESS		
